event_id,method_name,target_linked,n_hidden_frames,n_hidden_frames_alive,hidden_frame_coverage,fully_bridged,n_hidden_frames_with_gt,mean_center_error_px,mean_iou,recovery_status,recovery_latency_frames,event_source,ablation_mode
de7d80a1_track8_controlled_visual_d5_c1.0,oatm_dual,True,5,1,0.2,False,1,2.164976013494808,0.8508838010703883,new_id,0.0,controlled_visual,dual
cc8c0bf5_track2_controlled_visual_d2_c0.5,oatm_motion_only,True,2,2,1.0,True,2,1.8577287469478092,0.8107037092391576,same_id,0.0,controlled_visual,motion_only
cc8c0bf5_track2_controlled_visual_d2_c0.5,oatm_appearance_only,True,2,2,1.0,True,2,1.8577287469478092,0.8107037092391576,same_id,0.0,controlled_visual,appearance_only
cc8c0bf5_track2_controlled_visual_d2_c0.5,oatm_dual,True,2,2,1.0,True,2,1.8577287469478092,0.8107037092391576,same_id,0.0,controlled_visual,dual
cc8c0bf5_track2_controlled_visual_d2_c1.0,oatm_motion_only,True,2,2,1.0,True,2,2.011126932509585,0.732917605321727,same_id,0.0,controlled_visual,motion_only
cc8c0bf5_track2_controlled_visual_d2_c1.0,oatm_appearance_only,True,2,2,1.0,True,2,2.011126932509585,0.732917605321727,same_id,0.0,controlled_visual,appearance_only
cc8c0bf5_track2_controlled_visual_d2_c1.0,oatm_dual,True,2,2,1.0,True,2,2.011126932509585,0.732917605321727,same_id,0.0,controlled_visual,dual
cc8c0bf5_track2_controlled_visual_d5_c0.5,oatm_motion_only,True,5,5,1.0,True,5,1.3770400002623857,0.8605326331300697,same_id,0.0,controlled_visual,motion_only
cc8c0bf5_track2_controlled_visual_d5_c0.5,oatm_appearance_only,True,5,5,1.0,True,5,1.3770400002623857,0.8605326331300697,same_id,0.0,controlled_visual,appearance_only
cc8c0bf5_track2_controlled_visual_d5_c0.5,oatm_dual,True,5,5,1.0,True,5,1.3770400002623857,0.8605326331300697,same_id,0.0,controlled_visual,dual
cc8c0bf5_track2_controlled_visual_d5_c1.0,oatm_motion_only,True,5,5,1.0,True,5,2.1956676175933554,0.8585326890332949,same_id,0.0,controlled_visual,motion_only
cc8c0bf5_track2_controlled_visual_d5_c1.0,oatm_appearance_only,True,5,5,1.0,True,5,2.1956676175933554,0.8585326890332949,same_id,0.0,controlled_visual,appearance_only
cc8c0bf5_track2_controlled_visual_d5_c1.0,oatm_dual,True,5,5,1.0,True,5,2.1956676175933554,0.8585326890332949,same_id,0.0,controlled_visual,dual
c5224b9b_track18_controlled_visual_d2_c0.5,oatm_motion_only,True,2,2,1.0,True,2,2.7778574426028957,0.8506232348584476,same_id,0.0,controlled_visual,motion_only
c5224b9b_track18_controlled_visual_d2_c0.5,oatm_appearance_only,True,2,2,1.0,True,2,2.7778574426028957,0.8506232348584476,same_id,0.0,controlled_visual,appearance_only
c5224b9b_track18_controlled_visual_d2_c0.5,oatm_dual,True,2,2,1.0,True,2,2.7778574426028957,0.8506232348584476,same_id,0.0,controlled_visual,dual
c5224b9b_track18_controlled_visual_d2_c1.0,oatm_motion_only,True,2,1,0.5,False,1,1.7886397037347883,0.8835409857276627,not_recovered,,controlled_visual,motion_only
c5224b9b_track18_controlled_visual_d2_c1.0,oatm_appearance_only,True,2,1,0.5,False,1,1.7886397037347883,0.8835409857276627,not_recovered,,controlled_visual,appearance_only
c5224b9b_track18_controlled_visual_d2_c1.0,oatm_dual,True,2,1,0.5,False,1,1.7886397037347883,0.8835409857276627,not_recovered,,controlled_visual,dual
c5224b9b_track18_controlled_visual_d5_c0.5,oatm_motion_only,True,5,4,0.8,False,4,2.945319879197264,0.8506198344299765,not_recovered,,controlled_visual,motion_only
c5224b9b_track18_controlled_visual_d5_c0.5,oatm_appearance_only,True,5,4,0.8,False,4,2.945319879197264,0.8506198344299765,not_recovered,,controlled_visual,appearance_only
c5224b9b_track18_controlled_visual_d5_c0.5,oatm_dual,True,5,4,0.8,False,4,2.945319879197264,0.8506198344299765,not_recovered,,controlled_visual,dual
c5224b9b_track18_controlled_visual_d5_c1.0,oatm_motion_only,True,5,5,1.0,True,5,4.806078375756197,0.7747840413956032,same_id,0.0,controlled_visual,motion_only
