event_id,method_name,target_linked,n_hidden_frames,n_hidden_frames_alive,hidden_frame_coverage,fully_bridged,n_hidden_frames_with_gt,mean_center_error_px,mean_iou,recovery_status,recovery_latency_frames,event_source,duration,coverage
6f83169d_track11_controlled_visual_d2_c1.0,oatm_mvp,True,2,2,1.0,True,2,1.9348322109682803,0.8758399339847256,same_id,4.0,controlled_visual,2,1.0
6f83169d_track11_controlled_visual_d5_c0.5,yolo_only,True,5,0,0.0,False,0,,,detected,0.0,controlled_visual,5,0.5
6f83169d_track11_controlled_visual_d5_c0.5,static_memory,True,5,3,0.6,False,3,2.5904876278524687,0.8723434108705744,not_recovered,,controlled_visual,5,0.5
6f83169d_track11_controlled_visual_d5_c0.5,sort,True,5,3,0.6,False,3,1.4755966197933514,0.8796842235345169,not_recovered,,controlled_visual,5,0.5
6f83169d_track11_controlled_visual_d5_c0.5,bytetrack,True,5,5,1.0,True,5,0.7989631182638443,0.8729402657793539,same_id,0.0,controlled_visual,5,0.5
6f83169d_track11_controlled_visual_d5_c0.5,oatm_mvp,True,5,5,1.0,True,5,0.7989631182638443,0.8729402657793539,same_id,0.0,controlled_visual,5,0.5
6f83169d_track11_controlled_visual_d5_c1.0,yolo_only,True,5,0,0.0,False,0,,,detected,0.0,controlled_visual,5,1.0
6f83169d_track11_controlled_visual_d5_c1.0,static_memory,True,5,3,0.6,False,3,2.5904876278524687,0.8723434108705744,not_recovered,,controlled_visual,5,1.0
6f83169d_track11_controlled_visual_d5_c1.0,sort,True,5,3,0.6,False,3,1.4755966197933514,0.8796842235345169,not_recovered,,controlled_visual,5,1.0
6f83169d_track11_controlled_visual_d5_c1.0,bytetrack,True,5,3,0.6,False,3,1.4755966197933514,0.8796842235345169,not_recovered,,controlled_visual,5,1.0
6f83169d_track11_controlled_visual_d5_c1.0,oatm_mvp,True,5,1,0.2,False,1,0.24236824078459196,0.9325120437787452,not_recovered,,controlled_visual,5,1.0
325cef68_track27_controlled_visual_d2_c0.5,yolo_only,True,2,1,0.5,False,1,2.245869390653667,0.8876709442699986,detected,0.0,controlled_visual,2,0.5
325cef68_track27_controlled_visual_d2_c0.5,static_memory,True,2,2,1.0,True,2,7.5796086072347455,0.7487588384982011,new_id,0.0,controlled_visual,2,0.5
325cef68_track27_controlled_visual_d2_c0.5,sort,True,2,2,1.0,True,2,4.890372359228487,0.825592485234216,same_id,0.0,controlled_visual,2,0.5
325cef68_track27_controlled_visual_d2_c0.5,bytetrack,True,2,2,1.0,True,2,4.612898737598043,0.82904061569199,same_id,0.0,controlled_visual,2,0.5
325cef68_track27_controlled_visual_d2_c0.5,oatm_mvp,True,2,2,1.0,True,2,4.7269195072010675,0.8243981164611092,same_id,0.0,controlled_visual,2,0.5
325cef68_track27_controlled_visual_d2_c1.0,yolo_only,True,2,0,0.0,False,0,,,detected,0.0,controlled_visual,2,1.0
325cef68_track27_controlled_visual_d2_c1.0,static_memory,True,2,2,1.0,True,2,33.537941221941765,0.2459500249771471,new_id,0.0,controlled_visual,2,1.0
325cef68_track27_controlled_visual_d2_c1.0,sort,True,2,2,1.0,True,2,11.14612233975025,0.6694749110513285,same_id,0.0,controlled_visual,2,1.0
325cef68_track27_controlled_visual_d2_c1.0,bytetrack,True,2,2,1.0,True,2,11.283767275841614,0.6456550705696764,same_id,0.0,controlled_visual,2,1.0
325cef68_track27_controlled_visual_d2_c1.0,oatm_mvp,True,2,2,1.0,True,2,11.425098148331713,0.6428238270768537,same_id,0.0,controlled_visual,2,1.0
325cef68_track27_controlled_visual_d5_c0.5,yolo_only,False,5,0,,,0,,,n/a,,controlled_visual,5,0.5
