clip,track_id,gap_length,frame_offset_in_gap,variant,center_error_px,iou
clip_sample_001,6,3,2,sort_with_motion,2.0828676323491075,0.8190742458849996
clip_sample_001,6,3,2,sort_zero_velocity,4.913997084257243,0.6831027008858014
clip_sample_001,6,5,0,static_memory,1.6614255255013128,0.8826832765525915
clip_sample_001,6,5,0,sort_with_motion,1.2644982619108578,0.8981614848019027
clip_sample_001,6,5,0,sort_zero_velocity,2.016276748378548,0.842894364913475
clip_sample_001,6,5,1,static_memory,3.9855468283583444,0.7314445146312349
clip_sample_001,6,5,1,sort_with_motion,2.8640834958142625,0.7821946381273304
clip_sample_001,6,5,1,sort_zero_velocity,4.342569784301617,0.7113104495672202
clip_sample_001,6,5,2,static_memory,5.235363049654011,0.6684478857547825
clip_sample_001,6,5,2,sort_with_motion,3.3037194814809867,0.7540588885265376
clip_sample_001,6,5,2,sort_zero_velocity,5.588887227068763,0.6502620037428956
clip_sample_001,6,5,3,static_memory,6.196954515199112,0.61402986207075
clip_sample_001,6,5,3,sort_with_motion,3.3594719976125393,0.757751122815232
clip_sample_001,6,5,3,sort_zero_velocity,6.542567193761463,0.612268619294559
clip_sample_001,6,5,4,static_memory,6.657505272078376,0.5846421924419248
clip_sample_001,6,5,4,sort_with_motion,3.373181411803334,0.7362394268140868
clip_sample_001,6,5,4,sort_zero_velocity,7.012047985648875,0.5730196738041601
clip_sample_001,101,1,0,static_memory,2.086369070017769,0.9049576783870863
clip_sample_001,101,1,0,sort_with_motion,2.2170641620723224,0.9080767310873541
clip_sample_001,101,1,0,sort_zero_velocity,2.070623144701722,0.9051259553050307
clip_sample_001,101,2,0,static_memory,1.457558818820924,0.9331569542920085
clip_sample_001,101,2,0,sort_with_motion,1.0770585295681483,0.9142323834467301
clip_sample_001,101,2,0,sort_zero_velocity,2.3135080045848615,0.8898931367224269
clip_sample_001,101,2,1,static_memory,2.3433322666563314,0.9021850330643184
clip_sample_001,101,2,1,sort_with_motion,1.8624624589540955,0.9154559186346493
clip_sample_001,101,2,1,sort_zero_velocity,3.086939522742538,0.8664462815991234
clip_sample_001,101,3,0,static_memory,1.457558818820924,0.9331569542920085
clip_sample_001,101,3,0,sort_with_motion,1.0770585295681483,0.9142323834467301
clip_sample_001,101,3,0,sort_zero_velocity,2.3135080045848615,0.8898931367224269
clip_sample_001,101,3,1,static_memory,2.3433322666563314,0.9021850330643184
clip_sample_001,101,3,1,sort_with_motion,1.8624624589540955,0.9154559186346493
clip_sample_001,101,3,1,sort_zero_velocity,3.086939522742538,0.8664462815991234
clip_sample_001,101,3,2,static_memory,3.4274574536554936,0.864537685453874
clip_sample_001,101,3,2,sort_with_motion,1.9488431004830484,0.9035039967162657
clip_sample_001,101,3,2,sort_zero_velocity,4.2619736899465535,0.8304497680992098
clip_sample_001,101,5,0,static_memory,1.8770878960295123,0.910419218505767
clip_sample_001,101,5,0,sort_with_motion,2.96096612608029,0.8559025842033219
clip_sample_001,101,5,0,sort_zero_velocity,3.8141571447451184,0.8294304777350627
clip_sample_001,101,5,1,static_memory,3.2633746796903353,0.8509137687279595
clip_sample_001,101,5,1,sort_with_motion,3.484000423290103,0.824150693718128
clip_sample_001,101,5,1,sort_zero_velocity,5.21281309540804,0.7773068297507518
clip_sample_001,101,5,2,static_memory,3.998763331454604,0.8394297798783833
clip_sample_001,101,5,2,sort_with_motion,3.5814901437306497,0.8146464306914408
